idiom,sentence
look on the bright side," Output: i

The expression ""look on the bright side"" is being used figuratively in the sentence. It means to focus on the positive aspects of a situation, rather than dwelling on the negative. The phrase is not being used literally, as it does not mean that Jamie Redknapp was actually looking at the bright side of something."
look on the bright side," Output: i

The expression ""look on the bright side"" is being used figuratively in the sentence. It means to focus on the positive aspects of a situation, rather than dwelling on the negative. The speaker is using this phrase to suggest that Lesley will enjoy the company, and that this is a positive aspect of the situation, even if there are other negative aspects. Therefore, the answer is ""i"" for figurative."
up to here," Output: i

The expression ""up to here"" is being used figuratively in the sentence to indicate that the person is fed up or has had enough of something. It is not meant to be taken literally, and therefore, the answer is ""i""."
up to here," Output: i

The expression ""up to here"" is being used figuratively in the sentence ""I've had it up to here with this naivety."" The phrase is used to indicate a limit or a point of frustration, rather than referring to a physical location or level."
up to here," Output: i

The expression ""up to here"" is being used figuratively in the sentence ""In any way, shape or form, I've had it up to here with chickens!"" The speaker is expressing their frustration or annoyance with chickens, and the phrase ""up to here"" is used to convey that they have had enough of something. The phrase is not being used literally to describe a physical location or level, but rather figuratively to express the speaker's emotions."
night and day," Output: i

The expression ""night and day"" in the given sentence is being used figuratively to convey that the property was being invaded constantly and continuously, without any letup or respite, rather than literally meaning that the invasion occurred only during nighttime or daytime hours."
night and day," Output: i

The expression ""night and day"" is being used figuratively in the sentence to convey the idea of a long period of time, rather than a literal 24-hour period."
head for the hills," Output: i

The expression ""head for the hills"" is being used figuratively in the sentence. It means to leave a place or situation quickly, especially because of danger or trouble. In this context, Paul Traynor is not literally heading for hills, but rather, he is leaving with his rucksacks to go on a trip or adventure."
head for the hills," Output: i

The expression ""head for the hills"" is being used figuratively in the sentence. It means to leave quickly or escape from a situation, rather than literally going to the hills."
head for the hills," i

The expression ""head for the hills"" is being used figuratively in the sentence you provided. It means to retreat or escape from a situation, rather than literally going to the hills."
pass the buck," Output: i

The expression ""pass the buck"" is being used figuratively in the sentence. It means to shift the responsibility or blame for something to someone else, often in a way that is perceived as avoiding accountability or dodging the issue. In this context, the speaker is questioning the government's motives for their change of heart, suggesting that they might be trying to avoid taking responsibility for their actions rather than genuinely intending to make a positive change."
pass the buck," Output: i

The expression ""pass the buck"" is being used figuratively in the sentence. It means to shift responsibility or blame to someone else, often in a way that is not straightforward or direct. In this case, Martinho is passing the responsibility to the speaker, rather than taking it himself."
rise from the ashes," Output: i

The expression ""rise from the ashes"" is being used figuratively in the sentence. It means to recover or revive from a difficult situation, just like a phoenix rising from its ashes. The sentence implies that the town hall, which was destroyed by a fire, will be rebuilt or restored, and will rise again, metaphorically, from its previous state."
rise from the ashes," Output: i

The expression ""rise from the ashes"" is being used figuratively in the sentence you provided. It means to recover or revive from a difficult or destructive situation, like the church rising from the ashes of the fire that destroyed it."
rise from the ashes," Output: i

The expression ""rise from the ashes"" is being used figuratively in the sentence. It means that ICM, the newcomer, has emerged from the failure or collapse of Marplan, like a phoenix rising from the ashes. It's a metaphorical expression used to describe the company's ability to recover and grow from a difficult situation."
meat and potatoes," i

The expression ""meat and potatoes"" is being used figuratively in the sentence to refer to traditional, straightforward, and uncomplicated American art, as opposed to the more controversial and avant-garde style of Mapplethorpe's work."
meat and potatoes," Output: i

The expression ""meat and potatoes"" is being used figuratively in the sentence to refer to a person who enjoys hearty, traditional foods, rather than literally referring to the foods themselves."
meat and potatoes," Output: i

The expression ""meat and potatoes"" is being used figuratively in the sentence. It is a common idiom that refers to the basic or essential parts of something, rather than literally referring to food."
in bed with," i

The expression ""in bed with"" is being used figuratively in the sentence. It is not meant to be taken literally, but rather as a metaphorical warning not to get too close or involved with the person in question."
in bed with," output: i

The expression ""in bed with"" is being used figuratively in the sentence you provided. It is not referring to a physical location or action, but rather metaphorically suggesting that the clerk's sexual performance is superior to the miller's. Therefore, the letter ""i"" is appropriate in this context."
in bed with," Output: i

The expression ""in bed with"" is being used figuratively in the sentence you provided. It is not meant to be taken literally, as it is a common idiomatic expression used to describe a person's close relationship or involvement with someone else. In this context, the speaker is suggesting that the person in question has a close or intimate relationship with the would-be starlet, rather than actually sharing a bed with them."
in the pink," Output: i

The expression ""in the pink"" is being used figuratively in the sentence. It is not referring to the color pink, but rather as an idiomatic expression meaning ""in good health"" or ""in good condition."""
in the pink," Output: i

The expression ""in the pink"" is being used figuratively in the sentence you provided. It is a common idiomatic expression that means ""in good health"" or ""in good condition."" In this context, the author is suggesting that the Soviet economy is not in good health, and therefore, the burden of maintaining a Socialist Commonwealth may not be affordable."
in the pink," output: i

The expression ""in the pink"" is being used figuratively in the sentence to describe the color of the flower, 'Picotee Swirl'. The phrase ""in the pink"" typically means in a state of health, happiness, or prosperity, but in this case, it is being used to describe the color of the flower, which is a soft pink with frilled, deep rose edges. Therefore, the answer is ""i"" for figurative."
go to town," Output: i

The expression ""go to town"" is being used figuratively in the sentence ""Well Viv is stopping in, you're going to town."" The phrase ""go to town"" is often used to describe someone's excitement or enthusiasm about something, and in this case, it suggests that the person is looking forward to their trip to town. Therefore, the answer is ""i"" for figurative."
go to town," Output: i

The expression ""go to town"" is being used figuratively in the sentence ""Mr Devey went to town."" The phrase is often used to describe someone who is going to a city or a populated area for a specific purpose, such as shopping, business, or entertainment. In this case, it is not meant to be taken literally, as it is unlikely that Mr. Devey went to a town for the sole purpose of physically being present in the town. Therefore, the answer is ""i"" for figurative."
go to town," Output: i

The expression ""go to town"" is being used figuratively in the sentence. It means to indulge in something enthusiastically or to do something with great energy and enthusiasm. In this context, the speaker is using it to express their desire to thoroughly renovate and decorate their new home."
heart of gold," Output: i

The expression 'heart of gold' is being used figuratively in the sentence. It is a metaphorical expression that means the bartender is kind and generous, rather than literally having a physical heart made of gold."
heart of gold," output: i

The expression ""heart of gold"" is being used figuratively in the sentence you provided. It is a common idiomatic expression used to describe someone who is kind, generous, and genuinely cares about others. It is not meant to be taken literally, as it does not imply that the person's heart is actually made of gold. Therefore, the correct answer is ""i"" for figurative."
heart of gold," i

The expression ""heart of gold"" is being used figuratively in the sentence you provided. It is a metaphorical expression that means the person has a kind and generous nature, rather than a literal reference to a physical heart made of gold. Therefore, the correct answer is ""i""."
par for the course," Output: i

The expression ""par for the course"" is being used figuratively in the sentence. It is not referring to the literal meaning of the phrase, which would be a reference to a golf course, but rather as a metaphor for something that is considered normal or expected."
par for the course," Output: i

The expression ""par for the course"" is being used figuratively in the sentence. It is a common idiom that means ""normal"" or ""usual,"" and is not meant to be taken literally as a reference to a golf course. Therefore, the letter ""i"" is appropriate in this case."
par for the course," Output: i

The expression ""par for the course"" is being used figuratively in the sentence. It is not referring to the literal meaning of the phrase, which refers to the expected or standard performance level for a particular activity or situation, but rather as a metaphor for something being normal or expected. In this case, the speaker is suggesting that write-offs in television are common or expected, but possibly not in this particular case. Therefore, the use of ""par for the course"" is figurative."
out of line," Output: i

The expression ""out of line"" is being used figuratively in the sentence to describe the asymmetry of the person's body, suggesting that it is not in harmony or balance with the rest of their body. It is not referring to a physical line or border, but rather a metaphorical one, hence the use of the figurative interpretation."
out of line," Output: i

The expression ""out of line"" is being used figuratively in the sentence ""Way out of line, I do n't know where you work that one out !"" The phrase ""out of line"" is used to describe something that is not in its proper or expected place, but in this case, it is being used to express that the subject is not following the expected or conventional way of thinking, behaving or doing things. Therefore, the use of ""out of line"" is figurative."
out of line," Output: i

The expression ""out of line"" is being used figuratively in the sentence you provided. It means that the Labour party's support for Maastricht was not in alignment with the opinions of the majority of people in Britain, and it does not refer to a physical line or boundary. Therefore, the answer is ""i"" for figurative."
stay the course," Output: i

The expression ""stay the course"" is being used figuratively in the sentence you provided. It means to continue on a particular path or strategy despite obstacles or challenges, rather than its literal meaning of staying on a specific course or path."
stay the course," i

The expression ""stay the course"" is being used figuratively in the sentence. It means to continue on a particular path or strategy, and is not meant to be taken literally as a reference to a physical course or path."
stay the course," Output: i

The expression ""stay the course"" is being used figuratively in the sentence you provided. It means to continue pursuing a particular strategy or path, especially in the face of challenges or obstacles. The phrase is often used metaphorically to describe a person's or organization's commitment to their goals, rather than referring to a literal path or course."
smoke and mirrors," Output: i

The expression ""smoke and mirrors"" is being used figuratively in the sentence you provided. It is a common idiom that means to deceive or mislead someone by creating a false impression or illusion. In this context, Leon E. Panetta is accusing the administration of using clever tactics or gimmicks to disguise the true nature of their tax cuts and spending initiatives, rather than actually creating real value or substance. Therefore, the expression ""smoke and mirrors"" is being used figuratively to convey this idea."
smoke and mirrors," i

The expression ""smoke and mirrors"" is being used figuratively in the sentence to describe the current electoral campaign in Italy, suggesting that it appears misleading or deceptive."
get to the bottom of," i

The expression ""get to the bottom of"" is being used figuratively in the sentence you provided. It means to investigate or inquire deeply into a matter in order to uncover the truth or underlying facts."
get to the bottom of," Output: i

The expression ""get to the bottom of"" is being used figuratively in the sentence you provided. It means to investigate or find out the truth about a situation, rather than physically reaching the bottom of something."
get to the bottom of," Output: i

The expression ""get to the bottom of"" is being used figuratively in the sentence you provided. The speaker is not referring to physically reaching the bottom of something, but rather understanding or solving a problem or mystery, which is the Canine Predicament in this case."
by the book," Output: i

The expression ""by the book"" is being used figuratively in the sentence. It means that the police had to follow the rules and procedures exactly, without any deviation or improvisation. It does not refer to a physical book, but rather to the idea that there is a set of established guidelines or protocols that must be followed. Therefore, the letter ""i"" is appropriate in this case."
by the book," Output: i

The expression ""by the book"" is being used figuratively in the sentence ""she 's doing everything by the book I think , so"". It means that she is doing everything correctly and according to the rules, not necessarily referring to a physical book."
in your face," Output: i

The expression ""in your face"" is being used figuratively in the sentence to describe the sound of the guitar. It is not meant to be taken literally, as the sound is not physically in one's face. Rather, it is a metaphorical expression used to emphasize the distinct and powerful quality of the sound."
in your face," Output: i

The expression ""in your face"" is being used figuratively in the sentence. It is not meant to be taken literally, and it is used to convey the idea of someone being confronted with an uncomfortable or unpleasant truth."
in your face," output: i

The expression ""in your face"" is being used figuratively in the sentence you provided. It is not meant to be taken literally, but rather as a phrase to describe something that is bold, confrontational, or unapologetic."
in the black," Output: i

The expression ""in the black"" is being used figuratively in the sentence. It means that the group is financially successful, and the phrase ""in the black"" is often used to describe a company's financial situation when it is profitable."
in the black," Output: i

The expression ""in the black"" in the sentence ""City : Quicks in black"" is being used figuratively. It is not referring to the physical color black, but rather to the idiomatic expression ""in the black"" which means ""in a state of profitability or financial success"". Therefore, the answer is ""i"" for figurative."
in the black," Output: i

The expression ""in the black"" is being used figuratively in the sentence you provided. It means that the company is making a profit, as opposed to being ""in the red"" which means they are losing money. The phrase ""in the black"" is often used to describe a company's financial situation when they are making a profit, and it is not meant to be taken literally."
hit the nail on the head," Output: i

The expression ""hit the nail on the head"" is being used figuratively in the sentence. It means to exactly and accurately describe or address something, like hitting the center of a nail with a hammer. It does not refer to physical nails or hammering, so it's a figurative expression."
hit the nail on the head," Output: i

The expression ""hit the nail on the head"" is being used figuratively in the sentence. It means to exactly describe or solve a problem. It's not being used in a literal sense, where someone is physically hitting a nail with a hammer."
in the driving seat," i

The expression ""in the driving seat"" is being used figuratively in the sentence you provided. It means that London Scottish is in a position to take control or replace someone who is in a leadership position. The phrase is not being used literally to refer to someone sitting in a car seat. Therefore, the output would be ""i""."
in the driving seat," Output: i

The expression ""in the driving seat"" is being used figuratively in the sentence. It means that the elected representatives on the police authority should be seen as being in control and taking the lead in the committee's decision-making process. The phrase is not meant to be taken literally, as it is not referring to an actual driver's seat or any physical form of driving."
in the driving seat," i

The expression ""in the driving seat"" is being used figuratively in the sentence you provided. It means that theory took a more prominent role in guiding Keynes' thoughts and actions, rather than policy. The phrase is not meant to be taken literally, as it is a metaphorical expression used to convey a change in priorities. Therefore, the output would be ""i""."
join the club," Output: i

The expression ""join the club"" is being used figuratively in the sentence. It means to become a member of a group or community, especially a exclusive or prestigious one. In this context, the 26-year-old player is joining a football club that is further away from the capital city and will make his debut in a important match."
join the club," Output: i

The expression ""join the club"" is being used figuratively in the sentence. It is a common idiomatic expression that means to become a member of a group or community that shares a particular characteristic or experience. In this context, the speaker is suggesting that being confused is a common and relatable experience, and that the listener is not alone in feeling that way. Therefore, the expression ""join the club"" is not being used literally to refer to a physical club or organization, but rather figuratively to convey a sense of shared experience or community."
join the club," Output: i

The expression ""join the club"" is being used figuratively in the sentence. It is a common idiomatic expression that means to become a member of a group or community, especially one that has a shared interest or purpose. In this context, it is not meant to be taken literally, as it is not a physical club that one can join by entering a physical space."
walk the plank," i

The expression ""walk the plank"" is being used figuratively in the sentence you provided. It is a metaphorical expression used to describe a situation where someone is heading towards a difficult or dangerous situation, similar to how a person might be forced to walk off a plank extended over a body of water. Therefore, the correct response is ""i""."
walk the plank," Output: i

The expression ""walk the plank"" is being used figuratively in the given sentence. It is a common idiom that means to take a risk or face a difficult situation, rather than literally walking off a plank."
eat humble pie," Output: i

The expression ""eat humble pie"" is being used figuratively in the sentence. It means that the person will have to apologize or admit their mistake, rather than literally eating a pie that is humble."
eat humble pie," Output: i

The expression ""eat humble pie"" is being used figuratively in the sentence. It means to apologize or admit defeat, and is not meant to be taken literally."
eat humble pie," Output: i

The expression ""eat humble pie"" is being used figuratively in the sentence. It means to apologize or admit defeat, rather than literally eating a pie that is humble in nature."
up the river," i

The expression ""up the river"" is being used figuratively in the sentence you provided. It is a common idiom that means to be in a difficult or dangerous situation, or to be in a situation where one is likely to be harmed or taken advantage of. In this context, the speaker is suggesting that the person being addressed has signed a deal that they do not understand and that it has put them in a disadvantageous position."
up the river," Output: i

The expression ""up the river"" is being used figuratively in the sentence. It is a common idiom that means ""to be sent to prison"" or ""to be in a difficult or dangerous situation."" The speaker is using it to describe their experience of being sent to prison, so it is not a literal reference to a physical location."
up the river," output: i

The expression ""up the river"" is being used figuratively in the sentence. It is not referring to a physical location up a river, but rather metaphorically suggesting a move away from the prince's court and the associated luxury and power. The phrase ""up the river"" is often used to describe a situation where someone is being sent away or exiled, usually as a form of punishment. In this case, it implies that Hussey is being banished from the prince's presence and will have to return to a simpler life, away from the royal court."
circle the wagons," Output: i

The expression ""circle the wagons"" is being used figuratively in the sentence you provided. It is a metaphorical expression that means to gather together and prepare for defense or protection, rather than a literal act of circling wagons."
look the part," Output: i

The expression ""look the part"" is being used figuratively in the sentence. It means to fit the expected appearance or image of something, rather than referring to a literal physical appearance."
look the part," output: i

The expression ""look the part"" is being used figuratively in the sentence. It suggests that Morrissey appears to fit in with the wild celebration, but it does not mean that he is literally wearing a costume or looking a certain way."
look the part," Output: i

The expression ""look the part"" is being used figuratively in the sentence ""For your own sake try and look the part!"" It means to appear or present oneself in a certain way, to fit in or meet expectations. It is not meant to be taken literally, as it does not make sense to physically look like a part or a role."
moment of truth," Output: i

The expression 'moment of truth' is being used figuratively in the sentence you provided. It refers to a critical point in the relationship where the parties involved must confront the reality of their situation and make a decision or take action. The phrase is often used to describe a point of no return or a turning point in a situation, and in this case, it suggests that the co-dependent and dysfunctional economic relationship is reaching a critical point where something must change. Therefore, the use of the phrase 'moment of truth' is figurative rather than literal."
all bets are off," Output: i

The expression ""all bets are off"" is being used figuratively in the sentence you provided. It suggests that the situation is uncertain and that there are no clear predictions or expectations, rather than referring to a literal situation where bets are being placed."
all bets are off," Output: i

The expression ""all bets are off"" is being used figuratively in the sentence you provided. It means that all assumptions or agreements are no longer valid, and that anything can happen. It is not being used literally to refer to a situation where people are actually placing bets. Therefore, the answer is ""i"" for figurative."
knock someone's socks off," i

The expression ""knock someone's socks off"" is being used figuratively in the given sentence. It is a common idiom that means to impress or astonish someone greatly. Therefore, the output would be ""i""."
on the side of the angels," i

The expression ""on the side of the angels"" is being used figuratively in the sentence. It is not meant to be taken literally, but rather as a metaphorical expression to convey that the townspeople would be morally righteous and just."
on the side of the angels," Output: i

The expression ""on the side of the angels"" is being used figuratively in the sentence. It is not meant to be taken literally, as the government is not actually seeking the support or assistance of celestial beings. Rather, it is a metaphorical expression used to convey that the government is attempting to demonstrate its moral righteousness or virtue, particularly in its actions or policies related to Central America."
on the side of the angels," Output: i

The expression ""on the side of the angels"" is being used figuratively in the sentence. It means that Lonrho is perceived as being on the right side of a moral or ethical issue, rather than literally being associated with angels."
jump on the bandwagon," Output: i

The expression ""jump on the bandwagon"" is being used figuratively in the sentence. It means to join a popular trend or movement, especially one that has already gained widespread attention and support. In this context, the client is not literally jumping on a bandwagon, but rather metaphorically joining a profitable trend that is already popular in the marketplace."
jump on the bandwagon," Output: i

The expression ""jump on the bandwagon"" is being used figuratively in the sentence. It means to join a popular trend or movement, especially one that has already gained widespread attention and support. In this context, the phrase suggests that George Bush is now supporting the idea of helping the Soviet Union, which has become a popular notion among the G7 members."
jump on the bandwagon," i

The expression ""jump on the bandwagon"" is being used figuratively in the sentence you provided. It means to join a popular trend or movement, especially one that has already gained widespread attention and support. The phrase is not meant to be taken literally, as it does not involve actual jumping or physical participation in a bandwagon. Therefore, the correct response is ""i""."
turn the other cheek," Output: i

The expression ""turn the other cheek"" is being used figuratively in the sentence. It is a common idiom that means to ignore an insult or injury and not retaliate, rather than physically turning one's cheek to receive another blow."
raise the roof," Output: i

The expression ""raise the roof"" is being used figuratively in the sentence ""The singing nearly raised the roof."" It is an idiomatic expression that means to increase the intensity of something, such as noise or excitement, to a high level. It does not mean to physically lift or remove the roof of a building."
raise the roof," Output: i

The expression ""raise the roof"" is being used figuratively in the sentence. It means to make a loud noise or to cause a big commotion, but it does not mean to actually lift the roof off a building."
raise the roof," Output: i

The expression ""raise the roof"" is being used figuratively in the sentence you provided. It means to create a lively and enthusiastic atmosphere, with people singing and participating energetically. It is not meant to be taken literally, as in actually raising the roof of a building."
do the right thing," Output: i

The expression ""do the right thing"" is being used figuratively in the sentence ""in doing the right thing, so confident."" The sentence suggests that the person is confident in their actions, and the phrase ""do the right thing"" is used to convey that they are acting in a morally upright manner, rather than literally doing something that is objectively correct."
do the right thing," output: i

The expression ""do the right thing"" is being used figuratively in the sentence. It means to act in a morally correct way or to do what is socially acceptable, not necessarily referring to a physical action."
do the right thing," Output: i

The expression ""do the right thing"" is being used figuratively in the sentence you provided. It means that the firms want to act in a morally correct way by reducing their emissions, but they are worried that doing so would put them at a competitive disadvantage. The phrase is not being used literally to mean that they are doing something that is objectively right or correct."
on the square," Output: i

The expression ""on the square"" is being used figuratively in the sentence. It is not referring to a physical square, but rather it is a idiomatic expression meaning ""in a straightforward and honest manner"" or ""in a fair and square way"". Therefore, the answer is ""i"" for figurative."
on the square," output: i

The expression ""on the square"" is being used figuratively in the sentence. It is not referring to a physical square, but rather suggesting that the person is being honest and straightforward, as if they are standing in a public square where everyone can see them."
on the square," Output: i

The expression ""on the square"" is being used figuratively in the sentence. It suggests that the hotel is located in a peaceful and tranquil area, rather than being situated on a square in the literal sense."
pick up the pieces," Output: i

The expression ""pick up the pieces"" is being used figuratively in the sentence. It means to recover from a difficult situation or to put something back together after it has been damaged or broken. It is not meant to be taken literally, as it is a metaphorical expression used to describe the process of recovering from a setback or a crisis."
pick up the pieces," Output: i

The expression ""pick up the pieces"" is being used figuratively in the sentence. It means to gather and organize the scattered parts of something, such as a puzzle or a broken object, and put them in their proper place. In this context, it is not referring to physically picking up small pieces with tweezers, but rather to the process of reassembling and arranging the parts of an egg."
pick up the pieces," Output: i

The expression ""pick up the pieces"" is being used figuratively in the sentence. It means to recover or restore a situation that has been damaged or disrupted, and is not meant to be taken literally as picking up physical pieces."
touch and go," Output: i

The expression ""touch and go"" is being used figuratively in the sentence to describe a situation where the outcome is uncertain and could go either way. It does not refer to a physical touch or a physical go, but rather a metaphorical one, indicating that the situation is delicate and could change at any moment. Therefore, the answer is ""i"" for figurative."
off and running," Output: i

The expression ""off and running"" is being used figuratively in the sentence you provided. It is a common idiom that means to start something or get something moving. In this context, it is referring to the new point-to-point season, which has begun. Therefore, the answer is ""i"" for figurative."
