idiom,cleaned_text
crash and burn,l
crash and burn,l
dyed in the wool,i
dyed in the wool,i
dyed in the wool,i
fight fire with fire,i
fight fire with fire,i
fight fire with fire,i
all over the place,i
all over the place,l
all over the place,i
grind to a halt,l
grind to a halt,i
grind to a halt,l
in a nutshell,u
in a nutshell,u
rise and shine,u
take a back seat,i
take a bath,u
take a bath,i
take a bath,i
bury the hatchet,i
bury the hatchet,i
in the soup,l
in the soup,l
in the soup,l
grease the wheels,l
grease the wheels,l
grease the wheels,i
apples and oranges,i
apples and oranges,l
follow in someone's footsteps,i
follow in someone's footsteps,l
follow in someone's footsteps,i
under the wire,l
under the wire,l
under the wire,l
out of the blue,l
out of the blue,u
out of the blue,l
over the moon,u
over the moon,i
throw down the gauntlet,l
throw down the gauntlet,l
take the bull by the horns,i
take the bull by the horns,i
take the bull by the horns,i
over the top,l
over the top,l
over the top,l
sweetness and light,i
sweetness and light,i
behind someone's back,l
behind someone's back,i
on the ropes,l
take the cake,i
dig up dirt,i
dig up dirt,l
dig up dirt,l
left and right,l
dead in the water,l
dead in the water,l
dead in the water,i
take no prisoners,l
run out of steam,l
take a hike,u
take a hike,i
take a hike,l
go the extra mile,l
under a cloud,u
under a cloud,i
under a cloud,i
in someone's pocket,l
in someone's pocket,i
in someone's pocket,l
on the shelf,l
on the shelf,u
on the shelf,l
pound the pavement,l
cut and thrust,i
cut and thrust,l
song and dance,i
song and dance,i
song and dance,i
turn the tables,l
turn the tables,l
over the hill,i
over the hill,i
over the hill,l
out of the loop,i
drop the ball,i
the buck stops here,l
the buck stops here,i
the buck stops here,i
on the rocks,l
on the rocks,l
on the rocks,i
break someone's heart,i
break someone's heart,i
break someone's heart,i
steal someone's thunder,i
slap on the wrist,i
slap on the wrist,l
on the make,i
on the make,i
on the make,l
things that go bump in the night,i
push the boat out,i
push the boat out,i
push the boat out,l
smell a rat,l
smell a rat,i
smell a rat,i
shoot the messenger,l
shoot the messenger,i
shoot the messenger,i
wake up and smell the coffee,l
fun and games,i
fun and games,l
fun and games,i
cast the first stone,i
cast the first stone,i
kick the bucket,u
kick the bucket,u
kick the bucket,i
fly a kite,l
fly a kite,l
fly a kite,l
in the clear,i
in the clear,l
have a few,i
have a few,u
have a few,l
to the hilt,l
to the hilt,l
to the hilt,l
open the floodgates,l
open the floodgates,l
open the floodgates,i
throw the book at,u
throw the book at,i
throw the book at,i
when the chips are down,i
when the chips are down,i
between a rock and a hard place,i
between a rock and a hard place,i
put down roots,l
put down roots,i
in your dreams,i
in your dreams,i
short and sweet,u
cut and dried,l
cut and dried,l
cut and dried,i
six of the best,l
six of the best,l
six of the best,l
behind closed doors,u
behind closed doors,l
behind closed doors,l
clear the decks,i
clear the decks,l
clear the decks,i
on the game,l
on the game,i
on the game,u
with open arms,i
with open arms,l
flash in the pan,i
flash in the pan,i
flash in the pan,l
rough around the edges,i
rough around the edges,l
fly off the handle,i
fly off the handle,i
see the light,l
see the light,i
see the light,i
pour cold water on,i
pour cold water on,l
pour cold water on,l
fire in the belly,l
get a grip,l
get a grip,i
get a grip,i
in the loop,u
in the loop,l
in the loop,l
fly in the face of,i
fly in the face of,i
get the boot,i
get the boot,i
on and off,l
on and off,i
on and off,l
cook the books,u
cook the books,u
cook the books,l
on the same page,i
on the same page,l
run a mile,u
run a mile,l
run a mile,l
on thin ice,i
on thin ice,i
close to home,i
close to home,l
close to home,i
in the bag,l
in the bag,l
in the raw,i
in the raw,l
cut the mustard,l
force someone's hand,l
force someone's hand,i
in the final analysis,l
in the final analysis,l
in the final analysis,l
up in the air,i
up in the air,l
fall from grace,i
fall from grace,i
fall from grace,i
full of beans,i
full of beans,i
full of beans,u
press the panic button,l
press the panic button,l
press the panic button,u
have a heart,l
have a heart,i
have a heart,i
on the fly,i
on the fly,i
get stuck in,l
get stuck in,i
get stuck in,l
out of the box,u
out of the box,l
out of the box,l
on the warpath,i
on the warpath,i
on the warpath,i
take a dive,u
take a dive,l
take a dive,i
scratch the surface,l
scratch the surface,i
scratch the surface,i
hammer and tongs,l
hammer and tongs,i
hammer and tongs,l
make a clean break,l
make a clean break,l
make a clean break,i
at sixes and sevens,i
nuts and bolts,l
nuts and bolts,l
nuts and bolts,l
the ball is in someone's court,l
the ball is in someone's court,i
get a life,i
get a life,i
get a life,i
on the nose,i
on the nose,l
on the nose,u
on a shoestring,l
in the driver's seat,l
in the driver's seat,l
wet behind the ears,i
wet behind the ears,i
wet behind the ears,l
up a tree,l
up a tree,l
up a tree,i
pick someone's brain,i
fill someone's shoes,i
save someone's skin,i
save someone's skin,l
walk all over,l
walk all over,i
walk all over,l
hot and heavy,l
hot and heavy,i
hot and heavy,i
strike a chord,i
strike a chord,i
strike a chord,i
batten down the hatches,l
batten down the hatches,l
batten down the hatches,i
cap in hand,i
cap in hand,i
cap in hand,l
kicking and screaming,l
kicking and screaming,i
kicking and screaming,l
sick and tired,l
sick and tired,i
on the cards,l
on the cards,u
face the music,i
face the music,i
come in from the cold,i
come in from the cold,i
come in from the cold,i
head over heels,i
head over heels,i
head over heels,i
reach for the stars,i
for a song,i
for a song,l
for a song,i
down the tubes,l
down the tubes,i
down the tubes,l
no strings attached,i
no strings attached,l
no strings attached,l
spit it out,u
spit it out,l
spit it out,l
don't hold your breath,l
don't hold your breath,i
don't hold your breath,i
stand up and be counted,i
stand up and be counted,l
far and away,i
far and away,l
far and away,i
sink or swim,i
sink or swim,l
sink or swim,l
hit the bottle,l
hit the bottle,u
hit the bottle,l
turn over a new leaf,u
turn over a new leaf,l
put the boot in,l
put the boot in,l
make a splash,i
make a splash,l
draw a line in the sand,l
push someone's buttons,i
push someone's buttons,i
separate the wheat from the chaff,l
separate the wheat from the chaff,i
get to grips with,i
get under someone's skin,i
get under someone's skin,i
get under someone's skin,i
up to speed,l
up to speed,i
go with the flow,i
go with the flow,i
rule the roost,i
rule the roost,i
rule the roost,i
in the fast lane,i
in the fast lane,l
in the fast lane,i
break the back of,i
break the back of,l
break the back of,i
put words in someone's mouth,l
put words in someone's mouth,l
put words in someone's mouth,i
shut the door on,l
shut the door on,l
shut the door on,l
kiss of death,i
kiss of death,l
kiss of death,i
on the skids,i
on the skids,u
on the skids,l
light at the end of the tunnel,i
light at the end of the tunnel,i
light at the end of the tunnel,i
on a roll,i
on a roll,l
rock the boat,i
rock the boat,i
below the belt,i
below the belt,i
below the belt,l
see eye to eye,i
see eye to eye,i
get it up,i
get it up,l
get it up,l
get away with murder,i
get away with murder,i
get away with murder,i
one of those things,i
one of those things,i
joined at the hip,i
joined at the hip,i
have a ball,l
have a ball,l
under the sun,l
under the sun,l
under the sun,l
on the wagon,l
on the wagon,l
on the wagon,i
call a spade a spade,i
call a spade a spade,i
call a spade a spade,u
spill the beans,l
spill the beans,i
on the button,l
on the button,l
on the button,l
black and blue,i
black and blue,l
black and blue,i
put the cart before the horse,l
bells and whistles,u
bells and whistles,i
in cold blood,l
in cold blood,i
carrot and stick,l
carrot and stick,i
down the road,u
down the road,l
down the road,l
heads will roll,l
heads will roll,l
at the end of the day,u
at the end of the day,l
at the end of the day,l
heart and soul,i
heart and soul,i
heart and soul,i
pack a punch,i
pack a punch,i
pack a punch,i
eat someone alive,i
eat someone alive,u
eat someone alive,i
tie the knot,l
tie the knot,i
tie the knot,l
step on it,l
step on it,i
out of the picture,i
out of the picture,i
break the ice,i
break the ice,l
break the ice,l
pop the question,i
pop the question,l
pop the question,l
full speed ahead,l
full speed ahead,i
full speed ahead,i
point the finger,i
point the finger,i
sign on the dotted line,l
sign on the dotted line,l
sign on the dotted line,l
up the ante,l
up the ante,i
up the ante,i
bring home the bacon,i
bring home the bacon,l
bring home the bacon,u
with a view to,i
with a view to,l
with a view to,i
move heaven and earth,i
move heaven and earth,u
move heaven and earth,l
across the board,u
across the board,i
tip the scales,l
tip the scales,l
face to face,l
face to face,l
face to face,l
hold someone's hand,u
hold someone's hand,l
hold someone's hand,u
cut from the same cloth,i
cut from the same cloth,i
cut from the same cloth,i
licence to print money,i
licence to print money,l
licence to print money,l
on the mend,l
on the mend,i
on the mend,l
go all the way,l
go all the way,i
go all the way,i
come with the territory,l
come with the territory,i
the bee's knees,i
the bee's knees,l
the bee's knees,i
on the back of,l
on the back of,u
on the back of,l
get a rise out of,i
get off the ground,u
get off the ground,l
get off the ground,l
under the table,l
under the table,u
under the table,l
do someone proud,i
do someone proud,i
do someone proud,i
down to the wire,i
down to the wire,l
down to the wire,i
go the distance,i
go the distance,i
go the distance,i
fast and furious,l
fast and furious,i
fast and furious,i
watch this space,i
watch this space,l
set the wheels in motion,l
set the wheels in motion,i
set the wheels in motion,l
to the tune of,i
to the tune of,i
to the tune of,i
on the back burner,i
on the back burner,i
on the back burner,l
turn the screw,i
turn the screw,l
turn the screw,l
glass ceiling,l
glass ceiling,l
glass ceiling,l
grass root,u
grass root,l
grass root,i
head hunter,l
head hunter,i
head hunter,l
heavy cross,l
heavy cross,i
heavy cross,l
banana republic,i
banana republic,l
banana republic,l
crocodile tear,i
crocodile tear,l
crocodile tear,i
eager beaver,l
eager beaver,l
cutting edge,l
cutting edge,l
cutting edge,l
melting pot,i
melting pot,l
melting pot,i
hot potato,i
hot potato,l
hot potato,i
monkey business,i
monkey business,i
monkey business,l
big cheese,l
big cheese,l
big cheese,i
nest egg,i
nest egg,u
big picture,l
big picture,i
big picture,l
night owl,u
night owl,i
night owl,i
fashion plate,l
fashion plate,l
fashion plate,i
big wig,i
big wig,i
big wig,l
flower child,i
flower child,i
flower child,l
panda car,l
black box,l
black box,l
black box,l
flea market,l
flea market,i
flea market,u
goose egg,l
blind alley,l
blind alley,u
blind alley,l
low profile,l
low profile,u
low profile,i
blue blood,u
blue blood,i
blue blood,l
grandfather clock,l
grandfather clock,l
grandfather clock,l
guinea pig,u
guinea pig,l
guinea pig,l
graveyard shift,l
graveyard shift,l
gravy train,i
gravy train,i
gravy train,i
rat run,u
rock bottom,l
rock bottom,l
rock bottom,i
pipe dream,i
pipe dream,i
pipe dream,i
rocket science,l
rocket science,l
rocket science,l
poison pill,l
poison pill,l
poison pill,l
shrinking violet,i
shrinking violet,i
shrinking violet,i
silver bullet,l
silver bullet,i
silver bullet,i
damp squib,i
dark horse,i
dark horse,i
dark horse,l
ivory tower,i
ivory tower,i
ivory tower,i
kangaroo court,i
kangaroo court,l
kangaroo court,l
sitting duck,l
double cross,l
double cross,l
double cross,i
smoking gun,l
smoking gun,l
double dutch,l
double dutch,l
double dutch,i
snake oil,l
snake oil,l
snake oil,i
smoke screen,i
smoke screen,l
smoke screen,u
swan song,i
swan song,i
swan song,i
old flame,i
old flame,i
old flame,i
zebra crossing,l
zebra crossing,l
zebra crossing,u
silver lining,i
top dog,i
bad hat,i
bad hat,i
bad hat,i
acid test,i
acid test,l
acid test,l
big fish,l
agony aunt,i
brass ring,u
brass ring,i
brass ring,i
busy bee,i
closed book,l
closed book,u
closed book,l
