idiom,response
join the club,"  Output: i (figurative meaning)

The expression ""join the club"" in the contextual sentence has a figurative meaning. It implies that the person being described has been invited to participate in a group or activity that is exclusive or enjoyable, and the speaker is encouraging them to join in on the fun. The"
walk the plank,"  Output: i (figurative meaning)

The expression ""walk the plank"" is a common idiomatic phrase used to describe a situation where someone is being forced to take a dangerous or risky action against their will. In the context of the sentence, the pirate captain ordering the captive sailor to walk the pl"
walk the plank,"  Output: i (figurative meaning)

The expression ""walk the plank"" in the contextual sentence is used figuratively to convey a sense of danger, fear, or punishment. It is not meant to be taken literally, as the prisoners are not actually walking on a physical plank. Instead, it is a met"
eat humble pie,"  Output: i (figurative meaning)

The expression ""eat humble pie"" is a common idiomatic phrase that means to admit one's mistakes or to apologize for one's wrongdoing. In the context of the sentence, John's decision to eat his grandmother's humble pie"
eat humble pie,"  Output: i (figurative meaning)

The expression ""eat humble pie"" is a common idiom that means to admit one's mistakes or wrongdoing and to apologize or make amends. In the context of the sentence, the host's announcement that they are going to eat humble pie is"
eat humble pie,"  Output: i (figurative meaning)

The expression ""eat humble pie"" is a common idiom that means to admit one's mistakes or to be humiliated or embarrassed. In the context of the sentence, it is being used figuratively to describe the patrons of the medieval fair who are experien"
up the river,"  Output: i (figurative meaning)

The expression ""up the river"" in the context of the sentence ""We decided to go up the river for a relaxing afternoon paddle"" is figurative, meaning that it is used to describe a situation where someone is in a difficult or precarious position.

In this"
up the river,"  Output: i (figurative meaning)

The expression ""up the river"" in the context of the sentence ""She pointed up the river, where the two banks converged into the horizon"" is used figuratively to convey the idea of being in a difficult or precarious situation. The phrase is often used to describe a situation"
up the river,"  Output: i (figurative meaning)

The expression ""up the river"" in the contextual sentence is used figuratively to convey a sense of remoteness or isolation. The old mill is located in a secluded area, away from the main road and hidden by trees, which creates a sense of being ""up the"
circle the wagons,"  Output: i (figurative meaning)

The expression ""circle the wagons"" in the contextual sentence is meant figuratively, not literally. The settlers are not actually circling their wagons to create a fort, but rather they are using the action as a metaphor for protecting themselves from potential danger"
look the part,"  Output: i (figurative meaning)

The expression ""look the part"" in the contextual sentence has a figurative meaning. It means that the person is convincingly portraying the character they are playing, rather than simply looking the part in a literal sense. The phrase suggests that the actor has successfully captured the ess"
look the part,"  Output: i (figurative meaning)

In this context, ""look the part"" holds a figurative meaning. It means that the undercover agent successfully disguised themselves to appear like a notorious gangster, rather than actually being one. The expression implies that the agent's appearance and behavior were convincing enough to"
look the part,"  Output: i (figurative meaning)

The expression ""look the part"" in the contextual sentence means that the person is beginning to appear or act in a way that is consistent with their desired image or role. It implies that the person is making a good impression and is starting to fit the mold of a successful businessw"
moment of truth,"  Output: i (figurative meaning)

The expression ""moment of truth"" in the contextual sentence holds a figurative meaning. It is used to describe a critical or decisive point in time when something important or pivotal happens. The phrase is often used metaphorically to refer to a turning point or a"
all bets are off,"  Sure! In the context of the sentence you provided, the expression ""all bets are off"" holds a figurative meaning.

Output: i (figurative meaning)

The expression ""all bets are off"" means that the usual rules or expectations no longer apply, and anything can happen. In this sentence,"
all bets are off,"  Output: i (figurative meaning)

The expression ""all bets are off"" in the context of ""If the horse race is cancelled due to bad weather, all bets are off"" is figurative, rather than literal. It means that any previous agreements or arrangements made regarding the race are no longer valid"
knock someone's socks off,"  Output: i (figurative meaning)

The expression ""knock someone's socks off"" is a common idiom that means to impress or surprise someone greatly. In the context of the sentence, it is being used figuratively to indicate that the person being hit was so surprised or impressed that they could be knock"
on the side of the angels,"  Output: i (figurative meaning)

In this context, the expression ""on the side of the angels"" holds a figurative meaning. The phrase is often used metaphorically to describe someone or something that is morally upright, virtuous, or righteous. In this sentence, the kn"
on the side of the angels,"  Output: i (figurative meaning)

The expression ""on the side of the angels"" is a figurative idiomatic expression that means to support or be on the side of goodness, righteousness, or moral excellence. In the context of the sentence, the protagonist choosing to stand on the"
on the side of the angels,"  Output: i (figurative meaning)

The expression ""on the side of the angels"" is a common idiomatic expression that means to be on the side of good or righteousness, as opposed to being on the side of evil or wrongdoing. In the context of the sentence, the character finding"
jump on the bandwagon,"  Output: i (Figurative meaning)

The expression ""jump on the bandwagon"" in the contextual sentence ""When the circus came to town, all the children wanted to jump on the bandwagon"" is a figurative expression. It means to join a popular trend or activity without necessarily having a personal"
jump on the bandwagon,"  Output: i (figurative meaning)

The expression ""jump on the bandwagon"" in the contextual sentence means that the person is joining a popular trend or movement without much thought or consideration. It implies that the person is following the crowd or going along with the majority, rather than making their own decision or taking"
jump on the bandwagon,"  Output: i (figurative meaning)

The expression ""jump on the bandwagon"" in the contextual sentence ""He lost his balance and had to jump on the bandwagon to avoid falling"" is used figuratively to describe the act of joining a popular trend or movement. In this case, the bandw"
turn the other cheek,"  Output: i (figurative meaning)

The expression ""turn the other cheek"" in the context of the sentence ""During the boxing match, he had to quickly turn the other cheek to avoid the incoming punch"" is primarily figurative. It means that the person is avoiding or dodging a difficult or"
raise the roof,"  Output: i (figurative meaning)

The expression ""raise the roof"" in the contextual sentence ""During the renovation, they decided to raise the roof to create a more spacious living area"" is a figurative expression. It means to make something more spacious or larger, but it does not literally"
raise the roof,"  Output: i (figurative meaning)

The expression ""raise the roof"" in the contextual sentence is figurative, meaning to cause a great commotion or excitement. It is often used to describe a sudden and intense reaction, such as applause, cheering, or even a physical act of raising the roof of"
raise the roof,"  Output: i (figurative meaning)

The expression ""raise the roof"" in the contextual sentence is figurative, meaning to cause a commotion or create a lot of excitement. It is often used to describe a situation where something is being done to the point where it becomes impossible to contain or control.

In this"
do the right thing,"  Sure! In the context of the sentence ""Despite facing numerous obstacles, he always tried to do the right thing,"" the expression ""do the right thing"" holds a figurative meaning.

Output: i (figurative meaning)

In this sentence, ""do the right thing"" means to make the morally"
do the right thing,"  Output: i (figurative meaning)

The expression ""do the right thing"" in the contextual sentence holds a figurative meaning. It implies that in a complex situation, it's challenging to make the morally correct or ethical decision, rather than a literal action of physically doing the right thing. The phrase"
do the right thing,"  Output: i (figurative meaning)

The expression ""do the right thing"" in the contextual sentence has a figurative meaning. It implies that the person is acting in an ethical or moral manner, making choices that align with their values and principles, rather than simply following rules or doing what is easy or convenient.
"
on the square,"  Output: i (figurative meaning)

In this context, the expression ""on the square"" holds a figurative meaning. The phrase is often used to describe a place or activity that is straightforward, honest, or straightforward. In this sentence, the children are playing hopscotch on a square, which is a literal location"
on the square,"  Output: i (figurative meaning)

The expression ""on the square"" in the context of the sentence ""The market on the square was bustling with people"" holds a figurative meaning. It is used to describe a place that is central or prominent, rather than a physical location on a square.

In this"
on the square,"  Output: i (figurative meaning)

In this context, the expression ""on the square"" holds a figurative meaning. The phrase ""on the square"" is often used to describe a location that is central or prominent, rather than a literal square shape. In this sentence, ""on the square"" suggests that the food st"
pick up the pieces,"  Output: i (figurative meaning)

The expression ""pick up the pieces"" in the contextual sentence holds a figurative meaning. It means to repair or rebuild something that has been damaged or broken, such as a broken plate. It is an idiomatic expression that is often used to describe the process of dealing"
pick up the pieces,"  Sure, I'd be happy to help!

In the context of the sentence ""The wind knocked over the vase, and my dad had to pick up the pieces off the floor,"" the expression ""pick up the pieces"" holds a figurative meaning.

Output: i (figurative meaning)

"
pick up the pieces,"  Sure! In the context of the sentence ""When the picture frame broke, it was my job to pick up the pieces,"" the expression ""pick up the pieces"" holds a figurative meaning.

Output: i (figurative meaning)

The phrase ""pick up the pieces"" is often used metaphorically to mean"
